Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
,P/FSD/SMU/20/C/1,296.0,8.03,0.42,163.0,1.9,95,23.57196261682243,7.0,36.0,20.0,17.0,120.0,8.0,3.8,2.0,0.05,0.18,0.12,1.239
,P/FSD/SMU/20/C/2,3590.0,8.02,0.54,2154.0,14.5,725,23.57196261682243,412.0,538.0,48.0,33.0,255.0,680.0,11.0,3.0,0.13,1.4,0.11,22.17
"Chak No
198 GB",P/FSD/SMU/21/S/1,1222.0,7.55,17.29,733.0,5.9,295,23.57196261682243,69.0,208.0,40.0,28.0,215.0,180.0,12.5,2.5,0.1,0.39,2.75,4.149
,P/FSD/SMU/21/C/1,1237.0,8.1,0.33,742.0,6.0,300,23.57196261682243,71.0,210.0,40.0,28.0,215.0,180.0,12.3,2.0,0.09,0.4,0.13,5.659
,P/FSD/SMU/21/C/2,1268.0,7.74,0.32,761.0,6.1,305,23.57196261682243,74.0,222.0,44.0,27.0,220.0,190.0,12.3,2.3,0.07,0.45,0.41,5.115
"Chak No
136 GB
Sharqi",P/FSD/SMU/22/S/1,350.0,7.4,1.78,193.0,2.4,120,23.57196261682243,8.0,38.0,24.0,60.0,135.0,20.0,3.4,2.1,0.06,0.567130926954293,0.23,1.23
,P/FSD/SMU/22/C/1,401.0,7.8,0.57,221.0,2.7,135,23.57196261682243,14.0,40.0,32.0,15.0,140.0,24.0,3.8,2.0,0.06,0.26,0.07,0.925
,P/FSD/SMU/22/C/2,380.0,8.07,1.78,209.0,2.5,125,23.57196261682243,15.0,38.0,30.0,15.0,135.0,22.0,4.4,1.5,0.1,0.24,0.8,0.848
"Chak No
136 GB
Gharbi",P/FSD/SMU/23/S/1,298.0,7.6,1.92,164.0,2.1,105,23.57196261682243,7.0,33.0,38.0,9.0,130.0,10.0,3.3,1.0,0.13,0.19,0.15,1.027
,P/FSD/SMU/23/C/1,330.0,7.56,0.48,182.0,2.3,115,23.57196261682243,9.0,38.0,36.0,12.0,140.0,10.0,3.3,1.0,0.17,0.2,0.13,0.945
,P/FSD/SMU/23/C/2,335.0,7.81,0.21,184.0,2.3,115,23.57196261682243,8.0,41.0,38.0,11.0,140.0,10.0,3.3,1.0,0.07,0.18,0.11,1.04
"Chak No 50
GB",P/FSD/SMU/24/S/1,325.0,8.25,4.7,179.0,2.1,105,23.57196261682243,9.0,43.0,28.0,16.0,135.0,12.0,4.3,0.2,0.04,0.37,0.11,1.901
,P/FSD/SMU/24/C/1,330.0,8.26,2.11,182.0,2.2,110,23.57196261682243,9.0,44.0,30.0,16.0,140.0,12.0,5.5,0.2,0.1,0.39,0.02,6.462
,P/FSD/SMU/24/C/2,327.0,8.31,4.97,180.0,2.1,105,23.57196261682243,8.0,45.0,28.0,13.0,125.0,12.0,4.3,0.2,0.07,0.38,0.07,6.94
"Chak No 51
GB",P/FSD/SMU/25/S/1,1650.0,8.1,0.47,930.0,5.2,260,23.57196261682243,109.0,325.0,80.0,40.0,365.0,180.0,11.3,3.0,0.06,0.87,0.06,19.54
,P/FSD/SMU/25/C/1,1540.0,8.23,4.55,924.0,5.1,255,23.57196261682243,101.0,329.0,80.0,34.0,340.0,180.0,11.2,3.0,0.05,0.87,0.04,16.89
,P/FSD/SMU/25/C/2,1539.0,8.11,3.48,923.0,5.1,255,23.57196261682243,107.0,331.0,76.0,38.0,345.0,178.0,10.8,2.7,0.04,0.89,0.22,16.07
"Chak No
138 GB",P/FSD/SMU/26/S/1,704.0,8.22,4.65,422.0,2.6,130,23.57196261682243,30.0,170.0,36.0,19.0,170.0,80.0,11.2,0.6,0.1,0.41,0.59,14.0
,P/FSD/SMU/26/C/1,720.0,8.26,0.55,432.0,2.7,135,23.57196261682243,28.0,174.0,32.0,26.0,185.0,82.0,8.6,0.7,0.1,0.39,0.4,12.16
,P/FSD/SMU/26/C/2,738.0,7.15,0.12,443.0,2.6,130,23.57196261682243,28.0,182.0,36.0,30.0,215.0,82.0,7.8,1.0,0.09,0.4,0.5,14.26
"Chak No
137 GB",P/FSD/SMU/27/S/1,298.0,7.91,2.49,164.0,2.2,110,23.57196261682243,7.0,33.0,30.0,12.0,125.0,11.0,3.4,0.2,0.07,0.15,0.45,2.604
,P/FSD/SMU/27/C/1,306.0,7.67,1.43,168.0,2.2,110,23.57196261682243,8.0,34.0,28.0,12.0,120.0,11.0,3.5,0.2,0.13,0.17,0.12,3.15
,P/FSD/SMU/27/C/2,303.0,7.6,1.04,167.0,2.3,115,23.57196261682243,8.0,30.0,28.0,12.0,120.0,12.0,3.4,0.2,0.09,0.15,0.2,2.981
531 GB,P/FSD/SMU/28/S/1,1220.0,7.26,0.7,671.0,8.6,430,23.57196261682243,90.0,71.0,76.0,60.0,435.0,94.0,5.3,0.5,0.1,1.92,0.13,2.627
,P/FSD/SMU/28/S/2,1210.0,7.76,0.68,666.0,8.2,410,23.57196261682243,89.0,75.0,78.0,62.0,450.0,90.0,4.8,0.5,0.05,0.83,0.07,1.396
530 GB,P/FSD/SMU/29/S/1,450.0,8.26,0.4,248.0,3.4,170,23.57196261682243,8.0,40.0,40.0,19.0,180.0,20.0,4.4,0.4,0.04,0.31,0.1,4.219
,P/FSD/SMU/29/C/1,454.0,8.28,0.9,250.0,3.4,170,23.57196261682243,9.0,41.0,40.0,19.0,180.0,21.0,4.6,0.8,0.13,0.32,0.1,4.36
,P/FSD/SMU/29/C/2,458.0,8.3,1.93,252.0,3.6,180,23.57196261682243,10.0,40.0,42.0,18.0,18.0,21.0,4.6,0.7,0.14,0.32,0.11,3.953
442 GB,P/FSD/SMU/30/S/1,483.0,7.67,6.73,266.0,3.6,180,23.57196261682243,16.0,49.0,40.0,26.0,205.0,18.0,7.0,0.2,0.17,0.18,0.29,1.356
,P/FSD/SMU/30/C/1,500.0,7.99,0.96,275.0,3.5,175,23.57196261682243,18.0,62.0,44.0,24.0,210.0,21.0,7.3,0.2,0.09,0.14,0.14,5.724
,P/FSD/SMU/30/C/2,486.0,7.67,0.78,267.0,3.4,170,23.57196261682243,16.0,58.0,48.0,21.0,205.0,18.0,7.0,0.2,0.1,0.16,0.27,1.38
463 GB,P/FSD/SMU/31/S/1,2570.0,7.64,3.16,1593.0,9.0,450,23.57196261682243,130.0,640.0,26.0,21.0,150.0,490.0,20.0,0.4,0.05,0.87,0.18,3.44
,P/FSD/SMU/31/S/2,3220.0,8.3,0.33,1996.0,11.0,550,23.57196261682243,279.0,680.0,22.0,32.0,185.0,590.0,40.0,0.6,0.07,1.32,0.17,19.39
"Chak No
479 GB",P/FSD/SMU/32/S/1,2310.0,7.92,0.1,1432.0,4.0,200,23.57196261682243,18.0,878.0,80.0,78.0,520.0,241.0,10.2,0.4,0.07,0.1,0.12,4.75
,P/FSD/SMU/32/C/1,645.0,7.95,0.33,355.0,4.3,215,23.57196261682243,15.0,98.0,52.0,24.0,230.0,39.0,6.2,0.2,0.05,0.11,0.25,3.95
,P/FSD/SMU/32/C/2,596.0,7.93,0.24,328.0,4.2,210,23.57196261682243,17.0,68.0,52.0,18.0,205.0,41.0,6.4,0.2,0.1,0.1,0.23,3.32
"Chak No
477 GB
Shraqi",P/FSD/SMU/33/S/1,928.0,7.4,1.35,557.0,5.6,280,23.57196261682243,28.0,166.0,52.0,32.0,260.0,88.0,12.6,0.3,0.07,0.12,0.2,3.91
,P/FSD/SMU/33/C/1,479.0,7.71,2.68,263.0,3.5,175,23.57196261682243,13.0,42.0,40.0,19.0,180.0,25.0,6.4,0.1,0.06,0.04,0.21,2.86
,P/FSD/SMU/33/C/2,629.0,7.54,1.73,346.0,3.3,165,23.57196261682243,17.0,101.0,50.0,29.0,245.0,33.0,7.0,3.0,0.05,0.03,0.21,2.83
"Chak No
477 GB
Gharbi",P/FSD/SMU/34/S/1,365.0,7.73,0.11,201.0,2.6,130,23.57196261682243,8.0,48.0,44.0,13.0,165.0,8.0,7.1,0.3,0.08,0.18,0.08,3.14
,P/FSD/SMU/34/C/1,844.0,7.63,0.93,464.0,5.7,285,23.57196261682243,23.0,97.0,66.0,34.0,305.0,60.0,9.5,2.3,0.13,0.1,0.1,3.04
,P/FSD/SMU/34/C/2,738.0,7.82,0.14,4.6,4.0,200,23.57196261682243,20.0,144.0,42.0,32.0,235.0,50.0,8.0,0.6,0.1,0.08,0.25,2.93
,P/FSD/SMU/35/C/1,296.0,8.01,2.36,163.0,2.3,115,23.57196261682243,7.0,32.0,30.0,15.0,135.0,7.0,4.4,0.1,0.1,0.11,0.22,1.59
,P/FSD/SMU/35/C/2,306.0,8.3,4.36,168.0,2.4,120,23.57196261682243,10.0,30.0,26.0,18.0,140.0,8.0,4.7,0.1,0.14,0.1,0.2,1.65
"Chak No 42
GB",P/FSD/SMU/36/S/1,316.0,7.74,1.44,174.0,2.0,100,23.57196261682243,7.0,43.0,38.0,12.0,145.0,7.0,3.4,0.5,0.17,0.2,0.17,4.61
,P/FSD/SMU/36/C/1,258.0,7.86,0.62,142.0,1.8,90,23.57196261682243,8.0,32.0,30.0,9.0,110.0,7.0,3.4,0.2,0.13,0.18,0.12,4.34
,P/FSD/SMU/36/C/2,256.0,8.0,1.43,141.0,1.7,85,23.57196261682243,8.0,38.0,30.0,11.0,120.0,7.0,3.5,0.2,0.09,0.19,0.18,4.19
"Jinnah
Colony",P/FSD/JAN/UC-80/01/S/1,941.0,7.7,1.1,518.0,5.8,290,23.57196261682243,72.0,67.0,44.0,26.0,215.0,116.0,7.4,0.6,0.07,0.3,0.09,46.34
,P/FSD/JAN/UC-80/01/C/1,1460.0,7.58,3.5,876.0,5.4,270,23.57196261682243,116.0,270.0,46.0,28.0,230.0,226.0,9.8,2.0,0.09,0.49,0.31,36.2
,P/FSD/JAN/UC-80/01/S/2,1484.0,7.64,1.9,890.0,5.4,270,23.57196261682243,124.0,281.0,48.0,29.0,240.0,220.0,9.6,0.5,0.1,0.53,0.21,38.33
,P/FSD/JAN/UC-80/01/C/2,2536.0,7.67,3.1,155.0,5.6,280,23.57196261682243,204.0,645.0,82.0,57.0,440.0,350.0,13.5,4.0,0.05,0.93,0.11,4.356
Raza Abad,P/FSD/JAN/UC-81/02/S/1,2630.0,7.38,3.9,1578.0,4.9,245,23.57196261682243,280.0,623.0,140.0,56.0,580.0,330.0,12.7,2.0,0.04,0.3,0.03,63.62
,P/FSD/JAN/UC-81/02/C/1,2660.0,7.69,4.0,1596.0,5.0,250,23.57196261682243,288.0,630.0,150.0,52.0,590.0,332.0,11.9,0.5,0.08,0.73,0.92,50.14
"Pindi Sheik
Moosa",P/FSD/JAN/UC-83/03/S/1,1340.0,7.32,3.3,804.0,7.1,355,23.57196261682243,55.0,236.0,150.0,30.0,500.0,91.0,19.8,4.0,0.08,0.23,0.31,1.608
,P/FSD/JAN/UC-83/03/S/2,1186.0,7.43,3.0,761.0,6.5,325,23.57196261682243,46.0,264.0,98.0,53.0,465.0,89.0,11.8,5.0,0.1,0.43,0.21,0.356
Moza Garah,P/FSD/JAN/UC-84/04/S/1,2780.0,8.13,1.7,1724.0,5.1,255,23.57196261682243,106.0,910.0,132.0,46.0,520.0,370.0,21.3,1.0,0.13,0.5,0.41,3.943
,P/FSD/JAN/UC-84/04/S/2,2835.0,7.88,3.6,1758.0,3.8,190,23.57196261682243,150.0,940.0,160.0,32.0,530.0,350.0,42.5,2.0,0.09,0.57,0.23,10.12
Chak 615,P/FSD/JAN/UC-87/05/S/1,2620.0,7.74,3.0,1624.0,4.8,240,23.57196261682243,140.0,825.0,92.0,53.0,450.0,365.0,14.6,1.0,0.17,0.54,0.22,30.35
,P/FSD/JAN/UC-87/05/S/2,3270.0,7.54,6.0,2027.0,4.4,220,23.57196261682243,417.0,822.0,160.0,100.0,810.0,380.0,24.3,1.0,0.15,0.56,0.69,5.23
"452 Gb
Mandi
Ramey Shah",P/FSD/JAN/UC-91/06/S/1,1686.0,7.83,2.7,1012.0,8.3,415,23.57196261682243,78.0,321.0,80.0,41.0,370.0,230.0,15.6,0.6,0.06,0.35,0.72,12.21
,P/FSD/JAN/UC-91/06/C/1,1690.0,7.51,4.7,1014.0,8.4,420,23.57196261682243,71.0,325.0,80.0,43.0,375.0,232.0,16.2,1.0,0.12,0.33,0.14,10.66
,P/FSD/JAN/UC-91/06/C/2,1694.0,7.43,1.2,1016.0,8.3,415,23.57196261682243,71.0,330.0,76.0,41.0,365.0,235.0,15.3,0.8,0.11,0.37,0.29,7.87
,P/GA/WAZ/UC29-5/01/S/2,523.0,8.06,4.68,288.0,5.0,250,23.57196261682243,4.0,5.0,24.0,22.0,150.0,50.0,3.9,0.6,0.03,0.23,0.12,11.67
"Wazirabad
city",PGA/WAZ/UC25-1/03/S/1,598.0,7.6,2.14,329.0,5.8,290,23.57196261682243,6.0,10.0,36.0,27.0,200.0,48.0,3.6,0.5,0.02,0.18,0.17,6.529
,PGA/WAZ/UC25-1/03/S/3,642.0,7.46,0.64,353.0,6.2,310,23.57196261682243,4.0,9.0,44.0,32.0,240.0,39.0,3.8,0.8,0.07,0.11,0.11,15.28
,PGA/WAZ/UC27-3/03/S/5,627.0,7.5,0.42,345.0,6.1,305,23.57196261682243,4.0,9.0,44.0,27.0,190.0,43.0,3.7,0.7,0.06,0.2,0.32,12.45
,PGA/WAZ/UC27-3/03/S/6,566.0,7.46,3.97,311.0,5.4,270,23.57196261682243,4.0,11.0,40.0,21.0,185.0,42.0,3.8,0.6,0.11246780551905389,0.14,0.3,18.63
Sohdra Town,PGA/WAZ/UC36/04/S/1,663.0,7.47,0.18,365.0,6.4,320,23.57196261682243,2.0,2.0,48.0,28.0,235.0,33.0,3.8,0.8,0.03,0.15,0.27,17.58
,PGA/WAZ/UC36/04/S/2,640.0,7.48,0.34,352.0,6.8,340,23.57196261682243,2.0,6.0,54.0,38.0,290.0,30.0,4.0,0.3,0.04,0.14,0.19,18.76
,PGA/WAZ/UC36/04/S/3,650.0,7.49,1.11,354.0,6.7,335,23.57196261682243,4.0,3.0,52.0,36.0,280.0,33.0,4.1,0.4,0.02,0.13,0.2,18.25
"Gakhar
Mandi",PGA/WAZ/UC32-3/05/S/1,590.0,7.32,1.97,325.0,5.9,295,23.57196261682243,5.0,13.0,56.0,32.0,270.0,23.0,5.2,0.4,0.04,0.44,0.07,10.55
,PGA/WAZ/UC32-3/05/S/2,595.0,7.42,2.69,327.0,5.8,290,23.57196261682243,6.0,12.0,58.0,29.0,265.0,23.0,5.7,0.5,0.11246780551905389,0.4,0.06,11.28
Rasool Nagar,PGA/WAZ/UC35/06/S/1,330.0,7.74,1.92,182.0,2.7,135,23.57196261682243,2.0,25.0,30.0,16.0,140.0,14.0,2.2,0.7,0.11246780551905389,0.58,0.04,4.702
"Ahmad
Nagar",PGA/WAZ/UC14/09/S/1,821.0,7.38,0.84,452.0,7.8,390,23.57196261682243,7.0,32.0,50.0,40.0,290.0,60.0,7.9,0.8,0.09,0.29,0.11,8.162
Dhonkal,PGA/WAZ/UC03/10/S/1,580.0,7.67,3.2,319.0,5.4,270,23.57196261682243,6.0,11.0,58.0,28.0,260.0,22.0,5.6,1.0,0.04,0.35,0.07,21.98
Sharif Pura,P/GWA/KMK/01/S/1,942.0,7.53,0.72,848.0,7.7,385,23.57196261682243,37.0,73.0,28.0,58.0,310.0,76.0,7.0,0.1,0.07,0.49,0.12,26.64
"G T Road
Madhala",P/GWA/KMK/02/S/1,710.0,7.46,0.25,391.0,6.4,320,23.57196261682243,16.0,25.0,46.0,35.0,260.0,42.0,9.1,0.3,0.05,0.26,0.07,18.31
,P/GWA/KMK/02/S/2,700.0,7.47,7.63,385.0,6.6,330,23.57196261682243,12.0,23.0,40.0,36.0,250.0,41.0,6.6,0.2,0.04,0.22,0.09,53.75
RasoU Nagar,P/GWA/KMK/03/S/1,735.0,7.4,0.52,404.0,6.6,330,23.57196261682243,11.0,27.0,60.0,29.0,270.0,52.0,6.7,0.3,0.06,0.36,0.05,10.13
Kali Suba,P/GWA/KMK/06/S/1,1140.0,7.79,0.39,684.0,3.9,195,23.57196261682243,142.0,179.0,48.0,19.0,200.0,180.0,3.5,0.2,0.11,0.6,0.1,13.84
Gwna Aur,P/GWA/KMK/09/S/1,795.0,7.83,0.58,437.0,4.6,230,23.57196261682243,41.0,83.0,34.0,13.0,140.0,106.0,3.8,0.3,0.05,0.4,0.06,5.41
"Karyal
Kalan",P/GAW/NV/UC177/2/S/1,650.0,7.85,6.36,358.0,5.8,290,23.57196261682243,5.0,45.0,44.0,46.0,300.0,33.0,6.6,1.0,0.03,0.24,0.09,0.13
"Urban TMA
Office",P/GUJ/UC-55/01/S/1,597.0,8.2,0.8,342.0,5.7,285,23.57196261682243,9.0,26.0,40.0,24.0,200.0,90.0,1.9,4.567280442804428,0.04,0.42,0.1,1.0
,P/GUJ/UC-55/01/S/3,570.0,7.82,1.5,335.0,5.2,260,23.57196261682243,12.0,27.0,38.0,16.0,160.0,80.0,2.5,0.8,0.09,0.38,0.93,1.0
,P/GUJ/UC-55/01/C/3,590.0,7.76,4.2,324.0,5.3,265,23.57196261682243,9.0,28.0,28.0,12.0,120.0,84.0,2.0,0.5,0.13,0.4,0.13,1.0
,P/GUJ/UC-55/01/S/4,597.0,7.68,2.8,341.0,5.5,275,23.57196261682243,9.0,29.0,28.0,17.0,140.0,90.0,1.8,0.3,0.12,0.37,0.08,1.0
,P/GUJ/UC-55/01/C/4,595.0,7.83,4.5,350.0,5.6,280,23.57196261682243,9.0,28.0,52.0,11.0,170.0,80.0,2.0,4.567280442804428,0.09,0.36,0.24,1.0
,P/GUJ/UC-51/02/C/1,446.0,7.83,7.2,263.0,4.5,225,23.57196261682243,5.0,13.0,28.0,6.0,95.0,73.0,1.3,0.3,0.08,0.37,0.04,1.0
,P/GUJ/UC-51/02/S/2,535.0,7.77,3.9,295.0,5.3,265,23.57196261682243,6.0,16.0,36.0,15.0,150.0,61.0,1.8,4.567280442804428,0.13,0.2,0.04,1.0
,P/GUJ/UC-51/02/S/3,515.0,7.67,4.2,286.0,5.4,270,23.57196261682243,7.0,10.0,40.0,17.0,170.0,65.0,2.0,4.567280442804428,0.04,0.21,0.12,1.0
,P/GUJ/UC-51/02/C/3,520.0,7.96,1.8,250.0,5.3,265,23.57196261682243,7.0,9.0,40.0,17.0,170.0,64.0,1.5,0.2,0.08,0.2,0.16,1.0
Lari Addas,P/GUJ/UC-59/03/S/1,455.0,7.76,1.9,254.0,4.6,230,23.57196261682243,5.0,5.0,26.0,11.0,110.0,61.0,1.1,4.567280442804428,0.04,0.26,0.2,1.0
,P/GUJ/UC-59/03/C/1,461.0,7.73,2.1,336.0,4.7,235,23.57196261682243,7.0,5.0,28.0,12.0,120.0,64.0,1.4,4.567280442804428,0.07,0.22,0.11,1.0
,P/GUJ/UC-59/03/S/2,610.0,7.81,3.5,333.0,5.3,265,23.57196261682243,10.0,38.0,40.0,22.0,190.0,68.0,1.8,0.7,0.09,0.38,0.32,5.0
,P/GUJ/UC-59/03/C/2,605.0,8.17,0.7,150.0,5.4,270,23.57196261682243,12.0,35.0,42.0,21.0,190.0,66.0,1.6,0.5,0.05,0.38,0.2,1.0
,P/GUJ/UC-59/03/S/3,705.0,7.7,1.2,358.0,5.2,260,23.57196261682243,17.0,104.0,28.0,19.0,150.0,106.0,2.5,0.6,0.04,0.4,0.12,1.0
,P/GUJ/UC-45/04/C/1,640.0,7.57,1.5,352.0,5.4,270,23.57196261682243,14.0,37.0,56.0,15.0,200.0,65.0,2.7,0.6,0.14,0.32,0.67,1.0
,P/GUJ/UC-45/04/S/2,640.0,8.25,1.7,352.0,5.4,270,23.57196261682243,14.0,52.0,26.0,11.0,110.0,97.0,2.1,0.2,0.17,0.42,0.03,5.0
,P/GUJ/UC-45/04/S/3,652.0,7.95,0.8,358.0,5.2,260,23.57196261682243,12.0,56.0,24.0,12.0,110.0,102.0,1.7,0.2,0.06,0.53,0.03,1.0
,P/GUJ/UC-45/04/C/3,650.0,7.92,3.2,325.0,5.2,260,23.57196261682243,10.0,57.0,24.0,12.0,110.0,99.0,1.8,0.1,0.1,0.54,0.04,1.0
Ferozabad,P/GUJ/UC-46/05/S/1,591.0,7.91,1.6,325.0,5.3,265,23.57196261682243,10.0,29.0,40.0,5.0,120.0,85.0,3.4,4.567280442804428,0.07,0.26,0.25,1.0
,P/GUJ/UC-46/05/C/1,592.0,7.82,4.3,326.0,5.2,260,23.57196261682243,9.0,30.0,40.0,5.0,120.0,82.0,2.3,0.1,0.09,0.32,0.15,1.0
,P/GUJ/UC-46/05/S/2,577.0,7.72,1.3,331.0,5.4,270,23.57196261682243,9.0,29.0,36.0,27.0,200.0,65.0,2.0,0.3,0.04,0.25,0.11,1.0
,P/GUJ/UC-54/06/S/2,605.0,7.82,4.7,329.0,5.4,270,23.57196261682243,11.0,32.0,28.0,11.0,115.0,82.0,1.5,0.3,0.07,0.4,0.09,1.0
,P/GUJ/UC-54/06/C/2,599.0,7.91,7.2,352.0,5.5,275,23.57196261682243,12.0,35.0,48.0,22.0,210.0,68.0,1.6,0.2,0.06,0.38,0.04,1.0
,P/GUJ/UC-56/07/C/1,514.0,7.74,0.8,301.0,5.3,265,23.57196261682243,10.0,7.0,40.0,17.0,170.0,65.0,1.3,0.5,0.1,0.31,0.04,5.0
,P/GUJ/UC-56/07/S/2,770.0,7.85,1.2,424.0,5.6,280,23.57196261682243,27.0,44.0,32.0,18.0,155.0,110.0,1.4,0.2,0.09,0.49,0.1,1.0
,P/GUJ/UC-56/07/S/3,602.0,7.83,1.3,344.0,5.4,270,23.57196261682243,7.0,34.0,48.0,15.0,180.0,75.0,1.3,0.3,0.08,0.34,0.22,1.0
,P/GUJ/UC-56/07/S/4,756.0,7.69,1.0,441.0,5.4,270,23.57196261682243,15.0,110.0,40.0,19.0,180.0,93.0,1.3,0.2,0.05,0.26,0.05,1.0
,P/GUJ/UC-56/07/S/5,507.0,7.78,0.5,282.0,4.9,245,23.57196261682243,7.0,19.0,36.0,7.0,120.0,63.0,1.1,0.5,0.04,0.32,0.04,1.0
,P/GUJ/UC-56/07/C/5,460.0,7.71,1.8,270.0,4.7,235,23.57196261682243,5.0,12.0,36.0,13.0,145.0,60.0,1.2,0.2,0.03,0.31,0.12,5.0
Gulshan Colony,P/GUJ/UC-57/08/S/1,515.0,7.81,1.3,283.0,5.0,250,23.57196261682243,7.0,20.0,55.0,15.0,200.0,40.0,1.2,0.1,0.05,0.31,0.04,1.0
,P/GUJ/UC-57/08/C/2,587.0,7.78,1.8,323.0,5.2,260,23.57196261682243,18.0,15.0,56.0,18.0,215.0,48.0,1.1,0.1,0.06,0.36,0.08,5.0
,P/GUJ/UC-57/08/C/2,941.0,8.02,0.9,518.0,5.5,275,23.57196261682243,40.0,120.0,60.0,22.0,240.0,112.0,1.0,0.2,0.07,0.5,0.01,1.0
"Rehman
Shaheed Road",P/GUJ/UC-58/09/S/1,720.0,8.24,1.8,396.0,5.5,275,23.57196261682243,25.0,67.0,30.0,21.0,160.0,96.0,1.3,0.3,0.05,0.5,0.05,1.0
,P/GUJ/UC-58/09/C/1,731.0,7.72,19.7,1039.0,9.4,470,23.57196261682243,92.0,301.0,100.0,22.0,340.0,240.0,8.1,0.2,0.02,0.56,2.29,1.0
,P/GUJ/UC-58/09/S/2,845.0,7.82,7.4,468.0,5.3,265,23.57196261682243,20.0,124.0,40.0,12.0,150.0,122.0,1.8,0.2,0.02,0.54,0.09,1.0
,P/GUJ/UC-58/09/C/2,865.0,8.3,0.8,476.0,5.4,270,23.57196261682243,19.0,130.0,42.0,12.0,155.0,127.0,1.4,4.567280442804428,0.01,0.51,0.03,1.0
,P/GUJ/UC-58/09/S/3,640.0,7.76,11.7,352.0,5.2,260,23.57196261682243,12.0,52.0,35.0,13.0,140.0,92.0,1.2,0.1,0.03,0.44,0.38,1.0
,P/GUJ/UC-58/09/C/3,720.0,7.89,1.6,396.0,5.3,270,23.57196261682243,14.0,70.0,32.0,24.0,180.0,96.0,1.3,0.3,0.03,0.51,0.68,1.0
Railway Station,P/GUJ/UC-49/10/S/1,576.0,7.73,4.4,330.0,5.0,250,23.57196261682243,9.0,35.0,44.0,10.0,150.0,80.0,1.8,4.567280442804428,0.07,0.34,0.28,1.0
,P/GUJ/UC-49/10/C/2,514.0,7.92,5.2,296.0,5.2,260,23.57196261682243,7.0,8.0,36.0,12.0,140.0,75.0,1.5,0.4,0.05,0.41,0.98,1.0
,P/GUJ/UC-49/10/S/3,301.0,7.51,17.6,735.0,9.2,460,23.57196261682243,9.0,78.0,92.0,39.0,390.0,156.0,4.1,0.3,0.04,0.58,0.11,1.0
,P/GUJ/UC-49/10/C/3,465.0,7.71,0.5,260.0,4.7,235,23.57196261682243,7.0,2.0,32.0,12.0,130.0,64.0,1.0,0.4,0.03,0.33,0.09,1.0
,P/GUJ/UC-49/10/S/4,476.0,7.69,2.1,273.0,5.0,250,23.57196261682243,7.0,130.15925768822905,32.0,13.0,135.0,68.0,2.3,0.3,0.07,0.37,0.06,1.0
,P/GUJ/UC-49/10/C/4,475.0,7.71,3.5,274.0,5.0,250,23.57196261682243,7.0,130.15925768822905,32.0,12.0,130.0,70.0,1.8,0.54,0.05,0.35,0.07,1.0
,P/GUJ/UC-49/10/C/6,530.0,7.73,1.2,310.0,5.0,250,23.57196261682243,9.0,23.0,36.0,10.0,130.0,80.0,1.5,0.1,0.09,0.26,0.04,1.0
,P/GUJ/UC-48/11/C/1,738.0,7.71,0.1,406.0,5.3,265,23.57196261682243,17.0,80.0,40.0,22.0,190.0,93.0,2.6,0.3,0.06,0.46,0.07,1.0
,P/GUJ/UC-48/11/C/2,635.0,7.79,1.9,349.0,5.0,250,23.57196261682243,14.0,55.0,22.0,10.0,95.0,105.0,1.5,0.3,0.04,0.46,0.04,1.0
,P/GUJ/UC-48/11/S/3,596.0,7.78,3.0,328.0,5.3,265,23.57196261682243,7.0,21.0,24.0,15.0,120.0,80.0,1.8,0.4,0.07,0.33,0.22,1.0
,P/GUJ/UC-48/11/C/3,605.0,4.24,1.8,333.0,5.2,260,23.57196261682243,7.0,25.0,24.0,16.0,125.0,87.0,1.4,0.3,0.09,0.33,0.1,1.0
,P/GUJ/UC-47/12/C/1,685.0,7.85,4.0,377.0,5.2,260,23.57196261682243,13.0,62.0,20.0,11.0,95.0,116.0,1.5,0.6,0.11,0.7,0.11,1.0
Maqboolabad,P/GUJ/UC-52/13/S/1,610.0,8.26,5.1,336.0,5.5,275,23.57196261682243,7.0,27.0,36.0,19.0,170.0,72.0,1.9,0.4,0.14,0.29,0.0,1.0
,P/GUJ/UC-52/13/C/2,468.0,7.66,0.9,257.0,4.3,215,23.57196261682243,7.0,12.0,30.0,10.0,115.0,60.0,1.8,4.567280442804428,0.05,0.28,0.01,1.0
,P/GUJ/UC-52/13/C/3,588.0,7.83,2.3,323.0,5.6,280,23.57196261682243,10.0,25.0,38.0,17.0,165.0,66.0,1.3,0.1,0.04,0.25,0.04,1.0
Model Town,P/GUJ/UC-24/14/S/1,920.0,7.71,0.3,552.0,7.6,380,23.57196261682243,27.0,90.0,74.0,26.0,290.0,88.0,4.0,0.3,0.05,0.36,0.14,1.0
,P/GUJ/UC-24/14/C/1,930.0,7.47,1.3,558.0,7.6,380,23.57196261682243,25.0,97.0,74.0,27.0,295.0,91.0,3.8,0.2,0.09,0.43,0.18,1.0
,P/GUJ/UC-53/15/C/1,602.0,7.85,4.6,331.0,5.6,280,23.57196261682243,9.0,31.0,40.0,24.0,200.0,62.0,1.7,0.4,0.04,0.41,0.12,1.0
